year,state,revenue ,latitude,longitude
2006,VIC,50340,-37.0201,144.9646
2007,VIC,53173,-37.0201,144.9646
2008,VIC,55743,-37.0201,144.9646
2009,VIC,59262,-37.0201,144.9646
2010,VIC,61746,-37.0201,144.9646
2011,VIC,63427,-37.0201,144.9646
2012,VIC,64221,-37.0201,144.9646
2013,VIC,65574,-37.0201,144.9646
2014,VIC,69613,-37.0201,144.9646
2015,VIC,73320,-37.0201,144.9646
2016,VIC,76508,-37.0201,144.9646
2017,VIC,79270,-37.0201,144.9646
2018,VIC,83392,-37.0201,144.9646
2019,VIC,86222,-37.0201,144.9646
2020,VIC,86953,-37.0201,144.9646
2000,WA,14780,-25.042261,117.793221
2001,WA,15190,-25.042261,117.793221
2002,WA,16447,-25.042261,117.793221
2003,WA,17433,-25.042261,117.793221
2004,WA,19162,-25.042261,117.793221
2005,WA,20149,-25.042261,117.793221
2006,WA,21995,-25.042261,117.793221
2007,WA,24208,-25.042261,117.793221
2008,WA,25010,-25.042261,117.793221
2009,WA,25774,-25.042261,117.793221
2010,WA,26421,-25.042261,117.793221
2011,WA,28496,-25.042261,117.793221
2012,WA,31223,-25.042261,117.793221
2013,WA,32205,-25.042261,117.793221
2014,WA,32797,-25.042261,117.793221
2015,WA,33687,-25.042261,117.793221
2016,WA,34052,-25.042261,117.793221
2017,WA,34010,-25.042261,117.793221
2018,WA,33966,-25.042261,117.793221
2019,WA,34670,-25.042261,117.793221
2020,WA,38847,-25.042261,117.793221
